type,title,date_added,release_year,rating,duration_minutes,listed_in,streaming_platform
Movie,Ricky Velez: Here's Everything,"October 24, 2021",2021,TV-MA,96.50121457489878,"Comedy, Stand Up",Hulu
Movie,The Marksman,"October 23, 2021",2021,PG-13,108.0,"Action, Thriller",Hulu
Movie,Gaia,"October 22, 2021",2021,R,97.0,Horror,Hulu
Movie,Dream Horse,"October 18, 2021",2020,PG,113.0,"Comedy, Drama",Hulu
Movie,Cheer Camp Killer,"October 15, 2021",2020,TV-14,87.0,Thriller,Hulu
Movie,Sleepwalker,"October 15, 2021",2017,TV-14,88.0,Thriller,Hulu
Movie,Out of Death,"October 14, 2021",2021,NR,95.0,Thriller,Hulu
Movie,CHIPS,"October 13, 2021",2017,R,101.0,"Action, Adventure, Comedy",Hulu
Movie,The Loneliest Whale: The Search for 52,"October 12, 2021",2021,PG,97.0,Documentaries,Hulu
Movie,Gunda,"October 11, 2021",2020,G,93.0,Documentaries,Hulu
Movie,G.I. Joe: Retaliation,"October 10, 2021",2013,PG-13,105.0,"Action, Adventure",Hulu
Movie,Jacinta,"October 8, 2021",2021,TV-MA,105.0,Documentaries,Hulu
Movie,The Hills Presents: Speidi's Wedding Unveiled,"October 5, 2021",2009,TV-PG,96.50121457489878,"Reality, Teen",Hulu
Movie,Maggie's Plan,"October 4, 2021",2015,R,99.0,"Comedy, Drama, Romance",Hulu
Movie,The Program,"October 4, 2021",1993,R,112.0,"Action, Adventure, Drama",Hulu
Movie,Unfaithful,"October 4, 2021",2002,R,124.0,"Drama, Romance, Thriller",Hulu
Movie,Finding Your Feet,"October 3, 2021",2017,PG-13,112.0,"Comedy, Drama, Romance",Hulu
Movie,A.I.: Artificial Intelligence,"October 1, 2021",2001,PG-13,145.0,"Adventure, Drama, Science Fiction",Hulu
Movie,Air Force One,"October 1, 2021",1997,R,125.0,"Action, Adventure, Horror",Hulu
Movie,Ali,"October 1, 2021",2001,R,157.0,"Black Stories, Drama, History",Hulu
Movie,Blippi's Spooky Spell Halloween,"October 1, 2021",2021,TV-Y,41.0,Kids,Hulu
Movie,Boxcar Bertha,"October 1, 2021",1972,R,89.0,"Crime, Drama",Hulu
Movie,Cedar Rapids,"October 1, 2021",2011,R,87.0,Comedy,Hulu
Movie,Chasing Papi,"October 1, 2021",2003,PG,80.0,"Comedy, Drama, Romance",Hulu
Movie,Class,"October 1, 2021",1983,R,99.0,"Comedy, Drama",Hulu
Movie,Clifford,"October 1, 2021",1994,PG,90.0,"Comedy, Family, Kids",Hulu
Movie,Clockstoppers,"October 1, 2021",2002,PG,94.0,"Action, Adventure, Comedy",Hulu
Movie,Code 46,"October 1, 2021",2004,R,93.0,"Drama, Romance, Science Fiction",Hulu
Movie,Crimson Tide,"October 1, 2021",1995,R,116.0,"Drama, Horror, Thriller",Hulu
Movie,Date Night Extended Version,"October 1, 2021",2010,PG-13,102.0,"Action, Adventure, Comedy",Hulu
Movie,Dead of Winter,"October 1, 2021",1987,R,101.0,"Horror, Thriller",Hulu
Movie,Diary of a Wimpy Kid: Rodrick Rules,"October 1, 2021",2011,PG,100.0,"Comedy, Family, Kids",Hulu
Movie,Dr. No,"October 1, 2021",1962,PG,110.0,"Action, Adventure",Hulu
Movie,Escape from Alcatraz,"October 1, 2021",1979,PG,112.0,"Action, Crime, Drama",Hulu
Movie,Exorcist: The Beginning,"October 1, 2021",2004,R,113.0,Horror,Hulu
Movie,Flatliners,"October 1, 2021",1990,R,114.0,"Drama, Horror, Science Fiction",Hulu
Movie,From Russia With Love,"October 1, 2021",1964,PG,115.0,"Action, Adventure, Classics",Hulu
Movie,GoldenEye,"October 1, 2021",1995,PG-13,130.0,"Action, Adventure, Thriller",Hulu
Movie,Goldfinger,"October 1, 2021",1965,PG,110.0,"Action, Adventure, Classics",Hulu
Movie,Happy Feet,"October 1, 2021",2006,TV-PG,101.0,"Action, Adventure, Comedy",Hulu
Movie,Happy Feet Two,"October 1, 2021",2011,PG,100.0,"Adventure, Comedy, Family",Hulu
Movie,House of Games,"October 1, 2021",1987,R,102.0,Thriller,Hulu
Movie,Intersection,"October 1, 2021",1994,R,99.0,"Drama, Romance",Hulu
Movie,License to Kill,"October 1, 2021",1989,PG-13,133.0,"Action, Adventure",Hulu
Movie,Light It Up,"October 1, 2021",1999,R,99.0,"Black Stories, Drama, LGBTQ+",Hulu
Movie,Lost In Space,"October 1, 2021",1998,PG-13,130.0,"Action, Adventure, Science Fiction",Hulu
Movie,Mad Max,"October 1, 2021",1979,R,93.0,"Action, Adventure, Science Fiction",Hulu
Movie,My Best Friend's Wedding,"October 1, 2021",1997,PG-13,105.0,"Comedy, Romance",Hulu
Movie,Peeples,"October 1, 2021",2013,PG-13,95.0,"Comedy, Romance",Hulu
Movie,Queen of the Damned,"October 1, 2021",2002,R,101.0,Horror,Hulu
Movie,Racing With the Moon,"October 1, 2021",1984,PG,108.0,"Comedy, Drama, Romance",Hulu
Movie,Remo Williams: The Adventure Begins,"October 1, 2021",1985,PG-13,121.0,"Action, Adventure",Hulu
Movie,Resident Evil: Retribution,"October 1, 2021",2012,R,96.0,"Action, Adventure, Horror",Hulu
Movie,Rushmore,"October 1, 2021",1998,R,93.0,"Comedy, Teen",Hulu
Movie,Signs,"October 1, 2021",2002,PG-13,107.0,"Horror, Science Fiction, Thriller",Hulu
Movie,Sleepless in Seattle,"October 1, 2021",1993,PG,105.0,"Comedy, Romance",Hulu
Movie,Snatch,"October 1, 2021",2000,R,103.0,"Action, Adventure, Comedy",Hulu
Movie,Species,"October 1, 2021",1995,R,109.0,"Horror, Science Fiction, Thriller",Hulu
Movie,Species II,"October 1, 2021",1998,R,93.0,"Action, Adventure, Horror",Hulu
Movie,Species III,"October 1, 2021",2004,R,112.0,"Action, Adventure, Drama",Hulu
Movie,Species: The Awakening,"October 1, 2021",2007,TV-MA,98.0,"Science Fiction, Thriller",Hulu
Movie,Star Trek II: The Wrath of Khan,"October 1, 2021",1982,PG,113.0,"Action, Adventure, Classics",Hulu
Movie,Star Trek III: The Search for Spock,"October 1, 2021",1984,PG,105.0,"Action, Adventure, Family",Hulu
Movie,Star Trek IV: The Voyage Home,"October 1, 2021",1986,PG,119.0,"Action, Adventure, Family",Hulu
Movie,Star Trek V: The Final Frontier,"October 1, 2021",1989,PG,106.0,"Action, Adventure, Family",Hulu
Movie,Star Trek VI: The Undiscovered Country,"October 1, 2021",1991,PG,110.0,"Action, Adventure, Family",Hulu
Movie,Star Trek VIII: First Contact,"October 1, 2021",1996,PG-13,111.0,"Action, Adventure, Family",Hulu
Movie,Star Trek: Generations,"October 1, 2021",1994,PG,118.0,"Action, Adventure, Family",Hulu
Movie,Star Trek: Insurrection,"October 1, 2021",1998,PG,103.0,"Action, Adventure, Family",Hulu
Movie,Star Trek: Nemesis,"October 1, 2021",2002,PG-13,117.0,"Action, Adventure, Science Fiction",Hulu
Movie,Star Trek: The Motion Picture,"October 1, 2021",1979,PG,130.0,"Action, Adventure, Family",Hulu
Movie,Sweet Home Alabama,"October 1, 2021",2002,TV-14,104.0,"Comedy, Romance",Hulu
Movie,Sweet Land,"October 1, 2021",2005,PG,111.0,"Drama, Romance",Hulu
Movie,The Extreme Adventures of Super Dave,"October 1, 2021",2000,PG,91.0,Comedy,Hulu
Movie,The Holiday,"October 1, 2021",2006,PG-13,136.0,"Comedy, Drama, Romance",Hulu
Movie,The Hunger Games,"October 1, 2021",2012,TV-14,181.0,"Action, Adventure, Science Fiction",Hulu
Movie,The Hunger Games: Catching Fire,"October 1, 2021",2013,TV-14,182.0,"Action, Adventure, Science Fiction",Hulu
Movie,"The Hunger Games: Mockingjay, Part 1","October 1, 2021",2014,TV-14,108.0,"Action, Adventure, Science Fiction",Hulu
Movie,"The Hunger Games: Mockingjay, Part 2","October 1, 2021",2015,TV-14,128.0,"Action, Adventure, Family",Hulu
Movie,The Mask of Zorro,"October 1, 2021",1998,PG-13,138.0,"Action, Adventure",Hulu
Movie,The Perfect Holiday,"October 1, 2021",2007,PG,96.0,"Comedy, Drama, Family",Hulu
Movie,The Recruit,"October 1, 2021",2003,PG-13,115.0,"Action, Thriller",Hulu
Movie,The Rocky Horror Picture Show,"October 1, 2021",1975,R,99.0,"Comedy, Music",Hulu
Movie,The Saint,"October 1, 2021",1997,PG-13,116.0,"Action, Adventure, Drama",Hulu
Movie,The Spy Who Loved Me,"October 1, 2021",1977,PG,126.0,"Action, Adventure",Hulu
Movie,The Taking of Pelham 1 2 3,"October 1, 2021",2009,R,106.0,"Action, Adventure, Black Stories",Hulu
Movie,The Untouchables,"October 1, 2021",1987,R,119.0,"Classics, Crime, Drama",Hulu
Movie,The Village,"October 1, 2021",2004,PG-13,108.0,"Horror, Thriller",Hulu
Movie,The Vow,"October 1, 2021",2012,TV-14,104.0,"Drama, Romance",Hulu
Movie,Theater of Blood,"October 1, 2021",1973,R,104.0,"Comedy, Horror, News",Hulu
Movie,Total Recall,"October 1, 2021",2012,TV-14,118.0,"Action, Adventure, Science Fiction",Hulu
Movie,Unforgettable,"October 1, 2021",2017,R,100.0,"Drama, Thriller",Hulu
Movie,Victor Frankenstein,"October 1, 2021",2015,PG-13,110.0,"Drama, Horror",Hulu
Movie,Waitress,"October 1, 2021",2007,PG-13,108.0,"Comedy, Drama, Romance",Hulu
Movie,When A Man Loves A Woman,"October 1, 2021",1994,R,126.0,"Drama, Romance",Hulu
Movie,Within,"October 1, 2021",2016,R,88.0,"Horror, Thriller",Hulu
Movie,Wolves at the Door,"October 1, 2021",2016,R,72.0,"Drama, Horror, Thriller",Hulu
Movie,Wrong Turn 2: Dead End,"October 1, 2021",2007,R,96.0,"Drama, Horror, Thriller",Hulu
Movie,Felix and the Hidden Treasure,"September 28, 2021",2021,TV-PG,84.0,"Adventure, Comedy, Kids",Hulu
Movie,Gemini,"September 25, 2021",2017,R,93.0,"Drama, Horror, Mystery",Hulu
Movie,Grown Ups,"September 20, 2021",2010,TV-14,97.0,Comedy,Hulu
Movie,On Chesil Beach,"September 16, 2021",2018,R,110.0,"Cooking & Food, Drama, Lifestyle & Culture",Hulu
Movie,All About Nina,"September 15, 2021",2018,R,101.0,"Comedy, Drama",Hulu
Movie,"Gilberto Santa Rosa, 40…y Contando","September 15, 2021",2018,TV-PG,96.50121457489878,"Documentaries, Latino, Music",Hulu
Movie,Hitman: Agent 47,"September 15, 2021",2015,R,97.0,"Action, Adventure, Crime",Hulu
Movie,Los Croods 2: Una Nueva Era,"September 15, 2021",2020,PG,95.0,"Family, Latino",Hulu
Movie,"Love, Simon","September 15, 2021",2018,PG-13,110.0,"Comedy, Drama, LGBTQ+",Hulu
Movie,Maze Runner: The Death Cure,"September 15, 2021",2018,PG-13,144.0,"Action, Adventure, Science Fiction",Hulu
Movie,"Santana - Corazón: Live From Mexico, Live It to Believe It","September 15, 2021",2014,TV-14,96.50121457489878,"Documentaries, International, Latino",Hulu
Movie,Thalía 'Viva Tour' (En Vivo),"September 15, 2021",2014,TV-PG,96.50121457489878,"Documentaries, International, Latino",Hulu
