,type,title,date_added,release_year,rating,duration,listed_in,streaming_platform
8,TV Show,Queens,"October 20, 2021",2021,TV-14,1,"Drama, Music",Hulu
9,TV Show,The Bachelorette,"October 20, 2021",2003,TV-14,3,"Reality, Romance",Hulu
14,TV Show,Home Sweet Home,"October 16, 2021",2021,TV-PG,1,Reality,Hulu
16,TV Show,Showtime Championship Boxing: Wilder vs. Molina,"October 16, 2021",2015,TV-14,1,Sports,Hulu
17,TV Show,America's Book of Secrets,"October 15, 2021",2012,TV-14,1,"Documentaries, History",Hulu
18,TV Show,Beyond Oak Island,"October 15, 2021",2020,TV-PG,1,"History, Reality",Hulu
19,TV Show,Beyond Scared Straight,"October 15, 2021",2011,TV-14,6,"Documentaries, Reality, Teen",Hulu
21,TV Show,Hoarders,"October 15, 2021",2009,TV-PG,7,"Health & Wellness, Lifestyle & Culture, Reality",Hulu
22,TV Show,Little Women: Atlanta,"October 15, 2021",2016,TV-14,2,"Black Stories, Reality",Hulu
23,TV Show,Marrying Millions,"October 15, 2021",2019,TV-14,2,"Documentaries, Reality, Romance",Hulu
24,TV Show,Nightwatch,"October 15, 2021",2015,TV-14,4,"Documentaries, Drama, Mystery",Hulu
25,TV Show,Seven Year Switch,"October 15, 2021",2017,TV-14,1,Reality,Hulu
27,TV Show,Swamp People,"October 15, 2021",2010,TV-PG,3,"Documentaries, Reality",Hulu
29,TV Show,Acapulco Shore,"October 14, 2021",2014,TV-14,3,"Latino, Reality",Hulu
35,TV Show,The Real Housewives of Orange County,"October 14, 2021",2006,TV-14,15,Reality,Hulu
39,TV Show,Dopesick,"October 13, 2021",2021,TV-MA,1,Drama,Hulu
44,TV Show,Buried,"October 10, 2021",2021,TV-MA,1,"Crime, Documentaries",Hulu
45,TV Show,Demon Slayer Kimetsu No Yaiba,"October 10, 2021",2019,TV-14,2,"Action, Adventure, Anime",Hulu
48,TV Show,Roots Less Traveled,"October 10, 2021",2020,TV-G,1,Reality,Hulu
49,TV Show,Shark Tank,"October 9, 2021",2009,TV-PG,12,Reality,Hulu
51,TV Show,General Hospital,"October 8, 2021",1963,TV-14,1,Drama,Hulu
58,TV Show,Castle,"October 6, 2021",2009,TV-14,8,"Comedy, Crime, Drama",Hulu
60,TV Show,America's Funniest Home Videos,"October 4, 2021",1981,TV-PG,2,"Comedy, Family",Hulu
62,TV Show,The Bradshaw Bunch,"October 4, 2021",2020,TV-PG,1,Reality,Hulu
67,TV Show,Saturday Night Live,"October 3, 2021",1975,TV-14,23,"Comedy, Late Night, Sketch Comedy",Hulu
70,TV Show,The Most Magical Story On Earth: 50 Years of Walt Disney World,"October 2, 2021",2021,TV-PG,1,News,Hulu
75,TV Show,Big Sky,"October 1, 2021",2020,TV-14,2,"Crime, Drama",Hulu
79,TV Show,Cake,"October 1, 2021",2019,TV-MA,5,Comedy,Hulu
134,TV Show,Station 19,"October 1, 2021",2018,TV-14,5,"Action, Drama",Hulu
144,TV Show,The O.C.,"October 1, 2021",2003,TV-14,4,"Drama, Teen",Hulu
163,TV Show,American Dad!,"September 30, 2021",2005,TV-14,16,"Adult Animation, Comedy, Sitcom",Hulu
164,TV Show,BuzzFeed Unsolved: True Crime,"September 30, 2021",2017,TV-14,8,"Crime, Mystery",Hulu
170,TV Show,9-1-1,"September 28, 2021",2018,TV-14,5,Drama,Hulu
173,TV Show,Bob's Burgers,"September 27, 2021",2011,TV-14,12,"Adult Animation, Comedy, Sitcom",Hulu
174,TV Show,Family Guy,"September 27, 2021",1999,TV-14,20,"Adult Animation, Comedy, Sitcom",Hulu
175,TV Show,Nuclear Family,"September 27, 2021",2021,TV-MA,1,"Documentaries, LGBTQ+",Hulu
176,TV Show,The Great North,"September 27, 2021",2021,TV-PG,2,"Adult Animation, Comedy, Sitcom",Hulu
177,TV Show,The Rookie,"September 27, 2021",2018,TV-14,4,"Crime, Drama",Hulu
178,TV Show,The Simpsons,"September 27, 2021",1989,TV-PG,2,"Adult Animation, Comedy, Sitcom",Hulu
180,TV Show,SEC Storied,"September 26, 2021",2011,TV-PG,1,"Documentaries, Sports",Hulu
182,TV Show,Law & Order: Special Victims Unit,"September 24, 2021",1999,TV-14,23,"Crime, Drama, Mystery",Hulu
183,TV Show,The Eric Andre Show,"September 24, 2021",2012,TV-14,5,Comedy,Hulu
186,TV Show,Alter Ego,"September 23, 2021",2021,TV-PG,1,"Music, Reality",Hulu
189,TV Show,Home Economics,"September 23, 2021",2021,TV-PG,2,"Comedy, Sitcom",Hulu
190,TV Show,The Conners,"September 23, 2021",2018,TV-PG,1,"Comedy, Sitcom",Hulu
191,TV Show,The Croods: Family Tree,"September 23, 2021",2021,TV-G,1,"Adventure, Family, Kids",Hulu
192,TV Show,The Goldbergs,"September 23, 2021",2013,TV-PG,9,"Comedy, Family, Sitcom",Hulu
193,TV Show,The Masked Singer,"September 23, 2021",2019,TV-PG,6,"Comedy, Music, Reality",Hulu
194,TV Show,The Wonder Years,"September 23, 2021",2021,TV-PG,1,"Comedy, Sitcom",Hulu
196,TV Show,Dancing With the Stars,"September 21, 2021",2005,TV-PG,1,"Family, Lifestyle & Culture, Reality",Hulu
197,TV Show,Jimmy Kimmel Live,"September 21, 2021",2003,TV-14,2,"Comedy, Late Night",Hulu
198,TV Show,Late Night With Seth Meyers,"September 21, 2021",2014,TV-14,2,"Comedy, Late Night",Hulu
199,TV Show,The Tonight Show Starring Jimmy Fallon,"September 21, 2021",2014,TV-14,2,"Comedy, Late Night",Hulu
200,TV Show,Will & Grace,"September 21, 2021",2017,TV-14,3,"Comedy, LGBTQ+, Sitcom",Hulu
202,TV Show,Mom,"September 20, 2021",2013,TV-14,8,"Comedy, Sitcom",Hulu
203,TV Show,To Tell the Truth,"September 20, 2021",2016,TV-PG,1,"Comedy, Reality",Hulu
206,TV Show,Dark Side of Football,"September 18, 2021",2021,TV-14,1,"Crime, Documentaries, Sports",Hulu
210,TV Show,Divorce Court,"September 16, 2021",1999,TV-14,4,Reality,Hulu
216,TV Show,Dark Side of the Ring,"September 15, 2021",2019,TV-14,3,"Documentaries, Drama, Sports",Hulu
220,TV Show,Killer Cases,"September 15, 2021",2020,TV-14,1,Crime,Hulu
221,TV Show,Level Playing Field,"September 15, 2021",2021,TV-14,1,Documentaries,Hulu
229,TV Show,The Big Leap,"September 14, 2021",2021,TV-14,1,"Comedy, Drama",Hulu
233,TV Show,Fruits Basket (2019),"September 11, 2021",2019,TV-14,3,"Anime, Comedy, Drama",Hulu
236,TV Show,Holey Moley,"September 10, 2021",2019,TV-PG,1,"Game Shows, Reality",Hulu
237,TV Show,Project Bakeover,"September 10, 2021",2021,TV-G,1,"Cooking & Food, Lifestyle & Culture, Reality",Hulu
238,TV Show,Salvage Kings,"September 10, 2021",2019,TV-PG,2,Reality,Hulu
240,TV Show,Worst to First,"September 10, 2021",2017,TV-PG,2,"Lifestyle & Culture, Reality",Hulu
245,TV Show,Wu-Tang: An American Saga,"September 8, 2021",2019,TV-MA,2,"Black Stories, Drama",Hulu
248,TV Show,Dish Nation,"September 7, 2021",2013,TV-PG,1,Comedy,Hulu
259,TV Show,Locked Up Abroad,"September 2, 2021",2007,TV-14,2,Documentaries,Hulu
315,TV Show,9/11: One Day in America,"August 30, 2021",2021,TV-MA,1,"Documentaries, News",Hulu
316,TV Show,Are you the one? El match perfecto,"August 30, 2021",2016,TV-14,1,"Latino, Reality",Hulu
322,TV Show,Wipeout,"August 30, 2021",2008,TV-PG,7,"Action, Adventure, Family",Hulu
323,TV Show,Earth Odyssey with Dylan Dreyer,"August 29, 2021",2019,TV-G,1,Lifestyle & Culture,Hulu
