type,title,date_added,release_year,rating,listed_in,streaming_platform,duration_minutes
Movie,Duck the Halls: A Mickey Mouse Christmas Special,"November 26, 2021",2016,TV-G,"Animation, Family",DisneyPlus,23
Movie,Ernest Saves Christmas,"November 26, 2021",1988,PG,Comedy,DisneyPlus,91
Movie,Ice Age: A Mammoth Christmas,"November 26, 2021",2011,TV-G,"Animation, Comedy, Family",DisneyPlus,23
Movie,The Queen Family Singalong,"November 26, 2021",2021,TV-PG,Musical,DisneyPlus,41
Movie,Becoming Cousteau,"November 24, 2021",2021,PG-13,"Biographical, Documentary",DisneyPlus,94
Movie,A Muppets Christmas: Letters To Santa,"November 19, 2021",2008,G,"Comedy, Family, Musical",DisneyPlus,45
Movie,Adventure Thru the Walt Disney Archives,"November 19, 2021",2020,TV-PG,Documentary,DisneyPlus,59
Movie,Puppy for Hanukkah,"November 19, 2021",2020,TV-G,"Comedy, Family, Music",DisneyPlus,4
Movie,The Pixar Story,"November 19, 2021",2007,G,"Documentary, Family",DisneyPlus,91
Movie,America the Beautiful,"November 12, 2021",2021,TV-PG,Animals & Nature,DisneyPlus,2
Movie,Baymax!,"November 12, 2021",2021,TV-G,Animation,DisneyPlus,1
Movie,Ciao Alberto,"November 12, 2021",2021,TV-PG,"Animation, Comedy, Family",DisneyPlus,8
Movie,Enchanted,"November 12, 2021",2007,PG,"Comedy, Family, Fantasy",DisneyPlus,110
Movie,Feast,"November 12, 2021",2014,G,"Animation, Comedy, Drama",DisneyPlus,8
Movie,Frozen Fever,"November 12, 2021",2015,G,"Animation, Family, Fantasy",DisneyPlus,11
Movie,Get a Horse!,"November 12, 2021",2013,G,"Action-Adventure, Animation, Comedy",DisneyPlus,7
Movie,Home Sweet Home Alone,"November 12, 2021",2021,PG,"Comedy, Family",DisneyPlus,95
Movie,Jungle Cruise,"November 12, 2021",2021,PG-13,"Action-Adventure, Comedy, Family",DisneyPlus,129
Movie,Limitless with Chris Hemsworth,"November 12, 2021",2021,TV-14,Lifestyle,DisneyPlus,2
Movie,Marvel Studios’ 2021 Disney+ Day Special,"November 12, 2021",2021,TV-PG,Movies,DisneyPlus,14
Movie,Obi-Wan Kenobi,"November 12, 2021",2021,TV-PG,"Action-Adventure, Science Fiction",DisneyPlus,1
Movie,Paperman,"November 12, 2021",2012,G,"Animation, Comedy, Family",DisneyPlus,7
Movie,Pixar 2021 Disney+ Day Special,"November 12, 2021",2021,G,Movies,DisneyPlus,5
Movie,Shang-Chi and The Legend of The Ten Rings,"November 12, 2021",2021,PG-13,"Action-Adventure, Fantasy, Superhero",DisneyPlus,134
Movie,Spin,"November 12, 2021",2021,TV-G,"Coming of Age, Music",DisneyPlus,94
Movie,Tangled Ever After,"November 12, 2021",2012,G,"Animation, Family",DisneyPlus,9
Movie,The Ballad of Nessie,"November 12, 2021",2011,G,"Animation, Family, Fantasy",DisneyPlus,8
Movie,The Little Matchgirl,"November 12, 2021",2006,G,"Animation, Drama",DisneyPlus,7
Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,"November 12, 2021",2021,TV-PG,"Concert Film, Music",DisneyPlus,30
Movie,The Proud Family: Louder and Prouder,"November 12, 2021",2021,TV-G,"Animation, Comedy, Coming of Age",DisneyPlus,1
