type,title,date_added,release_year,rating,listed_in,streaming_platform,duration_seasons
TV Show,Hawkeye,"November 24, 2021",2021,TV-14,"Action-Adventure, Superhero",DisneyPlus,1
TV Show,Port Protection Alaska,"November 24, 2021",2015,TV-14,"Docuseries, Reality, Survival",DisneyPlus,2
TV Show,Secrets of the Zoo: Tampa,"November 24, 2021",2019,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,2
TV Show,"Dr. Oakley, Yukon Vet","November 17, 2021",2013,TV-PG,"Action-Adventure, Animals & Nature, Docuseries",DisneyPlus,10
TV Show,Disney Fancy Nancy,"November 12, 2021",2018,TV-PG,"Animation, Kids",DisneyPlus,3
TV Show,Disney Intertwined,"November 12, 2021",2021,TV-PG,"Comedy, Coming of Age, Drama",DisneyPlus,1
TV Show,Olaf Presents,"November 12, 2021",2021,TV-PG,"Animation, Family",DisneyPlus,1
TV Show,Disney Amphibia,"November 3, 2021",2018,TV-Y7,"Animation, Comedy, Family",DisneyPlus,3
TV Show,Photo Ark,"November 3, 2021",2017,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Storm Rising,"November 3, 2021",2021,TV-14,"Action-Adventure, Animals & Nature, Docuseries",DisneyPlus,1
TV Show,PJ Masks,"October 20, 2021",2015,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,5
TV Show,The Wild Life of Dr. Ole,"October 20, 2021",2021,TV-PG,"Animals & Nature, Reality",DisneyPlus,1
TV Show,Apollo: Back To The Moon,"October 13, 2021",2019,TV-PG,"Docuseries, Historical",DisneyPlus,1
TV Show,Just Beyond,"October 13, 2021",2021,TV-PG,"Anthology, Comedy, Coming of Age",DisneyPlus,1
TV Show,Secrets Of The Zoo: Down Under,"October 13, 2021",2020,TV-14,"Animals & Nature, Docuseries, Family",DisneyPlus,2
TV Show,Secrets of the Zoo: North Carolina,"October 13, 2021",2020,TV-14,Reality,DisneyPlus,1
TV Show,The Wizard of Paws,"October 13, 2021",2021,TV-PG,"Animals & Nature, Docuseries, Medical",DisneyPlus,1
TV Show,Zombies: Addison's Moonstone Mystery,"October 13, 2021",2020,TV-G,"Animation, Coming of Age, Fantasy",DisneyPlus,1
TV Show,Among the Stars,"October 6, 2021",2021,TV-PG,Docuseries,DisneyPlus,1
TV Show,Drain the Oceans,"October 6, 2021",2017,TV-PG,"Docuseries, Historical",DisneyPlus,4
TV Show,Drain The Oceans: The Mississippi River & Arctic War,"October 6, 2021",2021,TV-14,"Docuseries, Historical",DisneyPlus,1
TV Show,IMPACT with Gal Gadot,"October 6, 2021",2021,TV-14,Docuseries,DisneyPlus,1
TV Show,The Ghost and Molly McGee,"October 6, 2021",2021,TV-Y7,"Animation, Buddy, Coming of Age",DisneyPlus,1
TV Show,Disney Vampirina,"September 29, 2021",2017,TV-Y7,"Animation, Fantasy, Kids",DisneyPlus,3
TV Show,Disney's Magic Bake-Off,"September 29, 2021",2021,TV-G,"Family, Game Show / Competition",DisneyPlus,1
TV Show,Great Barrier Reef,"September 29, 2021",2020,TV-PG,"Animals & Nature, Docuseries",DisneyPlus,1
TV Show,Ready for Preschool,"September 29, 2021",2019,TV-Y,"Kids, Music",DisneyPlus,2
TV Show,Rolie Polie Olie,"September 29, 2021",1998,TV-Y,"Animation, Science Fiction",DisneyPlus,5
TV Show,Star Wars Galaxy of Sounds,"September 29, 2021",2021,TV-PG,"Animation, Anthology, Science Fiction",DisneyPlus,1
TV Show,The Hatcher Family Dairy,"September 29, 2021",2021,TV-14,"Animals & Nature, Docuseries, Reality",DisneyPlus,1
TV Show,The Simpsons,"September 29, 2021",1989,TV-PG,"Animation, Comedy",DisneyPlus,32
TV Show,Dog: Impossible,"September 22, 2021",2019,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,2
TV Show,Spidey And His Amazing Friends,"September 22, 2021",2021,TV-Y,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Star Wars: Visions,"September 22, 2021",2021,TV-PG,"Action-Adventure, Animation, Anime",DisneyPlus,1
TV Show,Life Below Zero,"September 15, 2021",2012,TV-14,"Action-Adventure, Animals & Nature, Docuseries",DisneyPlus,16
TV Show,Miraculous: Tales Of Ladybug & Cat Noir,"September 15, 2021",2015,TV-Y7,"Action-Adventure, Animation, Fantasy",DisneyPlus,1
TV Show,Unknown Waters with Jeremy Wade,"September 15, 2021",2021,TV-14,"Animals & Nature, Docuseries",DisneyPlus,1
TV Show,"Doogie Kamealoha, M.D.","September 8, 2021",2021,TV-PG,"Comedy, Coming of Age, Family",DisneyPlus,1
TV Show,"Mira, Royal Detective","September 8, 2021",2020,TV-Y,"Animation, Fantasy, Kids",DisneyPlus,2
TV Show,Pepper Ann,"September 8, 2021",1997,TV-Y,"Animation, Comedy, Coming of Age",DisneyPlus,3
TV Show,The Incredible Dr. Pol,"September 8, 2021",2011,TV-14,"Animals & Nature, Docuseries, Family",DisneyPlus,19
TV Show,Alaska Animal Rescue,"September 1, 2021",2019,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,2
TV Show,Dug Days,"September 1, 2021",2021,TV-PG,"Animation, Comedy, Family",DisneyPlus,1
TV Show,Dr. K's Exotic Animal ER,"August 25, 2021",2014,TV-14,"Animals & Nature, Docuseries, Family",DisneyPlus,9
TV Show,Gigantosaurus,"August 25, 2021",2018,TV-Y,"Action-Adventure, Animation, Kids",DisneyPlus,2
TV Show,Life Below Zero: Next Generation,"August 25, 2021",2020,TV-14,"Action-Adventure, Animals & Nature, Docuseries",DisneyPlus,2
TV Show,Growing Up Animal,"August 18, 2021",2021,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,America's Funniest Home Videos: Animal Edition,"August 11, 2021",2021,TV-PG,Reality,DisneyPlus,1
TV Show,Chicken Squad,"August 11, 2021",2021,TV-Y,"Animation, Kids, Police/Cop",DisneyPlus,1
TV Show,Disney Presents Goofy in How to Stay at Home,"August 11, 2021",2021,TV-G,"Animation, Comedy, Family",DisneyPlus,1
TV Show,Gabby Duran And The Unsittables,"August 11, 2021",2018,TV-G,"Comedy, Family, Science Fiction",DisneyPlus,2
TV Show,What If...?,"August 11, 2021",2021,TV-14,"Action-Adventure, Animation, Anthology",DisneyPlus,1
TV Show,Cesar Millan: Better Human Better Dog,"August 4, 2021",2021,TV-14,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Walt Disney Animation Studios: Short Circuit Experimental Films,"August 4, 2021",2020,PG,"Animation, Anthology, Family",DisneyPlus,2
TV Show,Chip 'n' Dale: Park Life,"July 28, 2021",2021,TV-Y7,"Animation, Buddy, Comedy",DisneyPlus,1
TV Show,Critter Fixers: Country Vets,"July 28, 2021",2020,TV-14,"Animals & Nature, Docuseries, Family",DisneyPlus,2
TV Show,Disney Junior T.O.T.S.,"July 28, 2021",2018,TV-Y,"Animation, Buddy, Kids",DisneyPlus,2
TV Show,Mickey Mouse Funhouse,"July 28, 2021",2021,TV-Y,"Animation, Kids",DisneyPlus,1
TV Show,Minnie's Bow-Toons: Party Palace Pals,"July 28, 2021",2021,TV-Y7,"Animation, Kids",DisneyPlus,1
TV Show,Turning the Tables with Robin Roberts,"July 28, 2021",2021,TV-PG,Talk Show,DisneyPlus,1
TV Show,Behind the Attraction,"July 21, 2021",2021,TV-PG,"Docuseries, Family",DisneyPlus,1
TV Show,Disney The Owl House,"July 21, 2021",2020,TV-Y7,"Action-Adventure, Animation, Anime",DisneyPlus,2
TV Show,Meet Spidey and His Amazing Friends (Shorts),"July 21, 2021",2021,TV-Y,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Mission Force One,"July 21, 2021",2017,TV-Y,"Action-Adventure, Animation, Kids",DisneyPlus,1
