type,title,release_year,rating,listed_in,streaming_platform,duration_minutes,date_added,action,comedy,drama,family_kids,romance,music,thriller,faith_spiritually,documentary,sci_fi_fantasy,lgbtq,black_stories,cooking_food,sports,anime
Movie,Take Care Good Night,2018,13+,"Drama, International",Amazon Prime,110.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Movie,Zoombies,2016,13+,"Horror, Science Fiction",Amazon Prime,87.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Movie,Zoe,2018,R,Science Fiction,Amazon Prime,104.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Movie,Zis Boom Bah,1941,NR,"Arts, Entertainment, and Culture, Comedy, Drama",Amazon Prime,62.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Movie,Zandalee,1991,R,Drama,Amazon Prime,94.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Movie,Zambezi: Force of Life,2005,ALL,Documentary,Amazon Prime,50.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Movie,Young Lovers,1949,18+,Drama,Amazon Prime,86.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Movie,You're Not You,2015,R,Drama,Amazon Prime,103.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Movie,Yoga for Men's Health,2016,ALL,"Fitness, Special Interest",Amazon Prime,60.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie,Yoga For Beginners,2016,ALL,"Fitness, Special Interest",Amazon Prime,54.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie,Yellowneck,1955,18+,"Action, Military and War, Western",Amazon Prime,84.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie,Yatra (Telugu),2019,ALL,"Drama, International",Amazon Prime,126.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Movie,Yatra (Malayalam),2019,ALL,"Drama, International",Amazon Prime,125.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Movie,Xchange,2001,R,"Fantasy, Science Fiction, Suspense",Amazon Prime,109.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Movie,X-Ray,1983,R,Suspense,Amazon Prime,89.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie,Wrangler: Anatomy of an Icon,2008,18+,"Documentary, LGBTQ",Amazon Prime,85.0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Movie,World Inferno Friendship Society,2007,NR,Music Videos and Concerts,Amazon Prime,40.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Movie,Words On Bathroom Walls,2020,PG-13,Drama,Amazon Prime,111.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Movie,Women of Valor,1986,16+,"Action, Drama",Amazon Prime,95.0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Movie,Woman Of Desire,1994,R,"Drama, Suspense",Amazon Prime,99.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Movie,Woke Up Like This,2017,13+,Comedy,Amazon Prime,104.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie,"Wizard of Loneliness, The",1988,PG-13,Drama,Amazon Prime,111.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
