type,title,date_added,release_year,rating,listed_in,streaming_platform,duration_seasons
TV Show,Ganglands,"September 24, 2021",2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",Netflix,1
TV Show,Jailbirds New Orleans,"September 24, 2021",2021,TV-MA,"Docuseries, Reality TV",Netflix,1
TV Show,Midnight Mass,"September 24, 2021",2021,TV-MA,"TV Dramas, TV Horror, TV Mysteries",Netflix,1
TV Show,"Vendetta: Truth, Lies and The Mafia","September 24, 2021",2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",Netflix,1
TV Show,Bangkok Breaking,"September 23, 2021",2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",Netflix,1
TV Show,Crime Stories: India Detectives,"September 22, 2021",2021,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",Netflix,1
TV Show,Jaguar,"September 22, 2021",2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",Netflix,1
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,"September 22, 2021",2021,TV-14,"Crime TV Shows, Docuseries, International TV Shows",Netflix,1
TV Show,Chicago Party Aunt,"September 17, 2021",2021,TV-MA,TV Comedies,Netflix,1
TV Show,Squid Game,"September 17, 2021",2021,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",Netflix,1
TV Show,Tayo and Little Wizards,"September 17, 2021",2020,TV-Y7,Kids' TV,Netflix,1
TV Show,Angry Birds,"September 16, 2021",2018,TV-Y7,"Kids' TV, TV Comedies",Netflix,1
TV Show,He-Man and the Masters of the Universe,"September 16, 2021",2021,TV-Y7,"Kids' TV, TV Sci-Fi & Fantasy",Netflix,1
TV Show,The Smart Money Woman,"September 16, 2021",2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,1
TV Show,Dharmakshetra,"September 15, 2021",2014,TV-PG,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",Netflix,1
TV Show,Raja Rasoi Aur Anya Kahaniyan,"September 15, 2021",2014,TV-G,"Docuseries, International TV Shows",Netflix,1
TV Show,Stories by Rabindranath Tagore,"September 15, 2021",2015,TV-PG,"International TV Shows, TV Dramas",Netflix,1
TV Show,Too Hot To Handle: Latino,"September 15, 2021",2021,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows",Netflix,1
TV Show,Yowamushi Pedal,"September 14, 2021",2013,TV-14,"Anime Series, International TV Shows",Netflix,1
TV Show,Metal Shop Masters,"September 10, 2021",2021,TV-MA,Reality TV,Netflix,1
TV Show,Pokémon Master Journeys: The Series,"September 10, 2021",2021,TV-Y7,"Anime Series, Kids' TV",Netflix,1
TV Show,Octonauts: Above & Beyond,"September 7, 2021",2021,TV-Y,"British TV Shows, Kids' TV",Netflix,1
TV Show,On the Verge,"September 7, 2021",2021,TV-MA,"TV Comedies, TV Dramas",Netflix,1
TV Show,Countdown: Inspiration4 Mission to Space,"September 6, 2021",2021,TV-14,"Docuseries, Science & Nature TV",Netflix,1
TV Show,Dive Club,"September 3, 2021",2021,TV-G,"Kids' TV, TV Dramas, Teen TV Shows",Netflix,1
TV Show,Money Heist: From Tokyo to Berlin,"September 3, 2021",2021,TV-MA,"Docuseries, International TV Shows, Spanish-Language TV Shows",Netflix,1
TV Show,Sharkdog,"September 3, 2021",2021,TV-Y,Kids' TV,Netflix,1
TV Show,Heroes of Goo Jit Zu,"September 2, 2021",2021,TV-Y7,"Kids' TV, TV Comedies",Netflix,1
TV Show,Hotel Del Luna,"September 2, 2021",2019,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,1
TV Show,Luv Kushh,"September 2, 2021",2012,TV-Y7,Kids' TV,Netflix,1
TV Show,Q-Force,"September 2, 2021",2021,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Comedies",Netflix,1
TV Show,Brave Animated Series,"September 1, 2021",2021,TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies",Netflix,1
TV Show,How to Be a Cowboy,"September 1, 2021",2021,TV-PG,Reality TV,Netflix,1
TV Show,HQ Barbers,"September 1, 2021",2020,TV-14,TV Shows,Netflix,1
TV Show,Oldsters,"September 1, 2021",2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,1
TV Show,Turning Point: 9/11 and the War on Terror,"September 1, 2021",2021,TV-14,Docuseries,Netflix,1
TV Show,Sparking Joy,"August 31, 2021",2021,TV-PG,Reality TV,Netflix,1
TV Show,Hometown Cha-Cha-Cha,"August 29, 2021",2021,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,1
TV Show,The Ingenuity of the Househusband,"August 29, 2021",2021,TV-G,"International TV Shows, TV Comedies",Netflix,1
TV Show,D.P.,"August 27, 2021",2021,TV-MA,"International TV Shows, TV Dramas",Netflix,1
TV Show,Deadly Sins,"August 27, 2021",2002,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",Netflix,1
TV Show,I Heart Arlo,"August 27, 2021",2021,TV-Y7,"Kids' TV, TV Comedies",Netflix,1
TV Show,King of Boys: The Return of the King,"August 27, 2021",2021,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,1
TV Show,Titletown High,"August 27, 2021",2021,TV-14,"Reality TV, Teen TV Shows",Netflix,1
TV Show,EDENS ZERO,"August 26, 2021",2021,TV-14,"Anime Series, International TV Shows",Netflix,1
TV Show,Clickbait,"August 25, 2021",2021,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries",Netflix,1
TV Show,John of God: The Crimes of a Spiritual Healer,"August 25, 2021",2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",Netflix,1
TV Show,Motel Makeover,"August 25, 2021",2021,TV-14,"International TV Shows, Reality TV",Netflix,1
TV Show,Open Your Eyes,"August 25, 2021",2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",Netflix,1
TV Show,Post Mortem: No One Dies in Skarnes,"August 25, 2021",2021,TV-MA,"International TV Shows, TV Comedies, TV Dramas",Netflix,1
TV Show,Oggy Oggy,"August 24, 2021",2021,TV-Y,"Kids' TV, TV Comedies",Netflix,1
